country,group,total2010,animal2010,total2023,animal2023,plant2023,animalShare2023,printedPage,pdfPage,source
"United States","North","119.1","80.4","123.1","82.9","40.2","67.3","329","343","C01"
"Germany","North","110.2","70.1","109.2","73.6","35.6","67.4","326","340","C01"
"United Kingdom","North","105.9","62.5","110","65.1","44.9","59.2","329","343","C01"
"Netherlands","North","110.1","75.3","117.1","81.5","35.6","69.6","327","341","C01"
"Denmark","North","112.3","70","126.3","86.8","39.5","68.7","326","340","C01"
"China","South","108.7","43.3","131","54.2","76.8","41.4","325","339","C01"
"India","South","60.4","11.5","74.6","20","54.6","26.8","326","340","C01"
"Brazil","South","101.8","56.8","106.5","68","38.5","63.8","325","339","C01"
"South Africa","South","78.9","35.3","79.2","36.5","42.7","46.1","328","342","C01"
"Kenya","South","57.8","17.9","55.8","14.5","41.3","26","327","341","C01"
"Nigeria","South","62.1","9.4","57","6.6","50.4","11.6","328","342","C01"
"Zimbabwe","South","61.2","30.5","69.1","31.3","37.8","45.3","329","343","C01"
"Singapore","Separate comparison","","","","","","","328","342","C01"
